EVENT TYPE,TIMESTAMP,DURATION,SESSION ID,TRANSACTION ID,DATASTORE,CONTEXT,SUBSYSTEM,PHASE,SERVICE,SERVICE PHASE,COMMIT QUEUE ID,NODE,DEVICE,DEVICE PHASE,PACKAGE,MESSAGE,ANNOTATION
start,2024-02-03T12:33:50.269,,41,49,running,cli,,,,,,,,,,"applying transaction",
start,2024-02-03T12:33:50.269,,41,49,running,cli,,validate,,,,,,,,"validate",
start,2024-02-03T12:33:50.269,,41,49,running,cli,,,,,,,,,,"grabbing transaction lock",
stop,2024-02-03T12:33:50.269,0.000,41,49,running,cli,,,,,,,,,,"grabbing transaction lock",
start,2024-02-03T12:33:50.271,,41,49,running,cli,,,,,,,,,,"creating rollback file",
stop,2024-02-03T12:33:50.273,0.002,41,49,running,cli,,,,,,,,,,"creating rollback file",
start,2024-02-03T12:33:50.273,,41,49,running,cli,,,,,,,,,,"run transforms and transaction hooks",
stop,2024-02-03T12:33:50.273,0.000,41,49,running,cli,,,,,,,,,,"run transforms and transaction hooks",
start,2024-02-03T12:33:50.273,,41,49,running,cli,,,,,,,,,,"mark inactive",
stop,2024-02-03T12:33:50.274,0.000,41,49,running,cli,,,,,,,,,,"mark inactive",
start,2024-02-03T12:33:50.274,,41,49,running,cli,,,,,,,,,,"pre validate",
stop,2024-02-03T12:33:50.274,0.000,41,49,running,cli,,,,,,,,,,"pre validate",
start,2024-02-03T12:33:50.274,,41,49,running,cli,,,,,,,,,,"run validation over the changeset",
stop,2024-02-03T12:33:50.274,0.000,41,49,running,cli,,,,,,,,,,"run validation over the changeset",
start,2024-02-03T12:33:50.274,,41,49,running,cli,,,,,,,,,,"run dependency-triggered validation",
stop,2024-02-03T12:33:50.274,0.000,41,49,running,cli,,,,,,,,,,"run dependency-triggered validation",
start,2024-02-03T12:33:50.274,,41,49,running,cli,,,,,,,,,,"check configuration policies",
stop,2024-02-03T12:33:50.274,0.000,41,49,running,cli,,,,,,,,,,"check configuration policies",
stop,2024-02-03T12:33:50.275,0.005,41,49,running,cli,,validate,,,,,,,,"validate",
start,2024-02-03T12:33:50.275,,41,49,running,cli,,write-start,,,,,,,,"write-start",
info,2024-02-03T12:33:50.275,,41,49,running,cli,cdb,write-start,,,,,,,,"write-start",
info,2024-02-03T12:33:50.275,,41,49,running,cli,ncs-internal-service-mux,write-start,,,,,,,,"write-start",
start,2024-02-03T12:33:50.275,,41,49,running,cli,,,,,,,,,,"check data kickers",
stop,2024-02-03T12:33:50.275,0.000,41,49,running,cli,,,,,,,,,,"check data kickers",
stop,2024-02-03T12:33:50.276,0.001,41,49,running,cli,,write-start,,,,,,,,"write-start",
start,2024-02-03T12:33:50.276,,41,49,running,cli,,prepare,,,,,,,,"prepare",
info,2024-02-03T12:33:50.276,,41,49,running,cli,cdb,prepare,,,,,,,,"prepare",
info,2024-02-03T12:33:50.276,,41,49,running,cli,ncs-internal-device-mgr,prepare,,,,,,,,"prepare",
stop,2024-02-03T12:33:50.278,0.001,41,49,running,cli,,prepare,,,,,,,,"prepare",
start,2024-02-03T12:33:50.278,,41,49,running,cli,,commit,,,,,,,,"commit",
info,2024-02-03T12:33:50.278,,41,49,running,cli,cdb,commit,,,,,,,,"commit",
info,2024-02-03T12:33:50.278,,41,49,running,cli,ncs-internal-device-mgr,commit,,,,,,,,"commit",
info,2024-02-03T12:33:50.279,,41,49,running,cli,,,,,,,,,,"releasing transaction lock",
stop,2024-02-03T12:33:50.279,0.001,41,49,running,cli,,commit,,,,,,,,"commit",
stop,2024-02-03T12:33:50.280,0.010,41,49,running,cli,,,,,,,,,,"applying transaction",
